form	lemma	POS	morph
༄༅། །		PUNCT
དོན་ལྡན་	དོན་ལྡན་	ADJ
སློབ་བུ་	སློབ་བུ་	OTHER
ར་	ལ་	PART
གདམས་པ་	གདམས་པ་	VERB
།		PUNCT
རྗེ་	རྗེ་	NO_POS
བླ་མ་	བླ་མ་	NOUN
རྣམས་	རྣམས་	DET
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
རྟེན་	རྟེན་	NOUN
དལ་	དལ་	NOUN
དང་	དང་	NO_POS
འབྱོར་པ་	འབྱོར་པ་	NOUN
འི་	གི་	PART
ལུས་	ལུས་	NOUN
འདི་ཉིད་	འདི་ཉིད་	OTHER
། །		PUNCT
ནམ་	གམ་	PART
མི་རྟག་	མི་རྟག་	OTHER
འཆི་བ་	འཆི་བ་	VERB
དྲན་པ་	དྲན་པ་	VERB
དང་	དང་	NO_POS
། །		PUNCT
འཁོར་བ་	འཁོར་བ་	NOUN
ཡི་	གི་	PART
ཉེས་དམིགས་	ཉེས་དམིགས་	NOUN
ལ་	ལ་	PART
བསམ་	བསམ་	NOUN
ན་	ནས་	PART
"།
།"		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
རྒྱུ་འབྲས་	རྒྱུ་འབྲས་	NOUN
སྤང་བླང་	སྤང་བླང་	NOUN
དྲན་པ་	དྲན་པ་	VERB
ར་	ལ་	PART
མཛོད་	མཛོད་	NOUN
། །		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
བླ་མ་	བླ་མ་	NOUN
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
གཙུག་	གཙུག་	NOUN
ཏུ་	ལ་	PART
བསྒོམ་	བསྒོམ་	VERB
། །		PUNCT
ཡིད་ཆེས་	ཡིད་ཆེས་	NOUN
ཀྱི་	གི་	PART
དད་པ་	དད་པ་	VERB
ས་	གིས་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
འགྲོ་	འགྲོ་	VERB
"།
།"		PUNCT
ཁམས་	ཁམས་	NOUN
གསུམ་	གསུམ་	NUM
གྱི་	གི་	PART
སེམས་ཅན་	སེམས་ཅན་	NOUN
ཕ་མ་	ཕ་མ་	NOUN
ར་	ལ་	PART
ཤེ་	ཤེ་	VERB
། །		PUNCT
བྱམས་	བྱམས་	VERB
སྙིང་རྗེ་	སྙིང་རྗེ་	NOUN
བྱང་སེམས་	བྱང་སེམས་	NOUN
བསྒོམ་པ་	བསྒོམ་པ་	VERB
གཅེ་	གཅེ་	VERB
། །		PUNCT
བསགས་	བསགས་	VERB
སྦྱོང་	སྦྱོང་	VERB
ལ་	ལ་	PART
