form	lemma	POS	morph
༄༅། །		PUNCT
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
དགོས་	དགོས་	VERB
གསུངས་པ་	གསུངས་པ་	VERB
།		PUNCT
སྐྱབས་	སྐྱབས་	NOUN
དམ་པ་	དམ་པ་	VERB
རྩ་བ་	རྩ་བ་	NOUN
འི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
མཁྱེན་	མཁྱེན་	VERB
། །		PUNCT
མི་	མི་	PART
ང་	ང་	PRON
ལ་	ལ་	PART
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
མ་	མ་	PART
མཆིས་	མཆིས་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
རྗེ་	རྗེ་	NO_POS
གོང་མ་	གོང་མ་	ADJ
རྣམས་	རྣམས་	DET
ཀྱི་	གི་	PART
ཞལ་ལུང་	ཞལ་ལུང་	OTHER
ལ་	ལ་	PART
། །		PUNCT
སྲིད་	སྲིད་	NOUN
འཁོར་བ་	འཁོར་བ་	NOUN
འདི་	འདི་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
ངེས་འབྱུང་	ངེས་འབྱུང་	NOUN
ཐབས་	ཐབས་	NOUN
"།
།"		PUNCT
བློ་	བློ་	NOUN
ལྡོག་པ་	ལྡོག་པ་	VERB
རྣམ་	རྣམ་	NOUN
བཞི་	བཞི་	NUM
འི་	གི་	PART
བློ་	བློ་	NOUN
སྦྱོངས་	སྦྱོངས་	VERB
མཛོད་	མཛོད་	NOUN
། །		PUNCT
ལ་	ལ་	ADP
ས་	གིས་	PART
དཀར་ནག་	དཀར་ནག་	ADJ
ཆེ་ཕྲ་	ཆེ་ཕྲ་	NO_POS
བསགས་པ་	བསགས་པ་	VERB
ཀུན་	ཀུན་	DET
"།
།"		PUNCT
ཆུད་	ཆུད་	VERB
མི་	མི་	PART
ཟ་	ཟ་	VERB
དུས་	དུས་	NOUN
སུ་	ལ་	PART
སྨིན་པ་	སྨིན་པ་	VERB
ས་	གིས་	PART
ན་	ལ་	PART
། །		PUNCT
རྒྱུ་	རྒྱུ་	NOUN
དགེ་སྡིག་	དགེ་སྡིག་	NOUN
སྤངས་	སྤངས་	VERB
བླང་	བླང་	NO_POS
མ་	མ་	PART
ནོར་	ནོར་	NOUN
བྱ་	བྱ་	VERB
། །		PUNCT
ཆོ་	ཆོ་	NOUN
ཀུན་	ཀུན་	DET
གྱི་	གི་	PART
