form	lemma	POS	morph
༄༅། །		PUNCT
ཀུ་སཱ་ལི་	ཀུ་སཱ་ལི་	NO_POS
འི་	གི་	PART
སེམས་ཁྲིད་	སེམས་ཁྲིད་	NO_POS
"།

༄༅། །"		PUNCT
ན་མོ་	ན་མོ་	X
གུ་རུ་	གུ་རུ་	PROPN
།		PUNCT
ལྟ་	ལྟ་	NOUN
སྒོམ་	སྒོམ་	VERB
བཤད་ཚུལ་	བཤད་ཚུལ་	VERB
མང་	མང་	VERB
ལགས་	ལགས་	AUX
ཀྱང་	ཀྱང་	PART
། །		PUNCT
རང་སེམས་	རང་སེམས་	NOUN
ངོ་བོ་	ངོ་བོ་	NOUN
སྐྱོང་	སྐྱོང་	VERB
ལ་	ལ་	PART
འདུ་	འདུ་	VERB
། །		PUNCT
སེམས་	སེམས་	NOUN
ཞེ་	ཅེས་	PART
གཞན་	གཞན་	DET
དུ་ཡོད་པ་	དུ་ཡོད་པ་	NO_POS
མིན་	མིན་	AUX
"།
།"		PUNCT
ད་ལྟ་	ད་ལྟ་	OTHER
འི་	གི་	PART
རྣམ་རྟོག་	རྣམ་རྟོག་	NOUN
འདི་	འདི་	DET
ཀ་	ཀ་	DET
ཡིན་	ཡིན་	NO_POS
། །		PUNCT
དེ་	སྟེ་	PART
རྗེས་	རྗེས་	NOUN
ཕྱི་རུ་	ཕྱི་རུ་	NO_POS
མི་	མི་	PART
འབྲང་བ་	འབྲང་བ་	VERB
ར་	ལ་	PART
། །		PUNCT
ཁོ་རང་	ཁོ་རང་	NO_POS
རང་	རང་	PRON
ངོ་	གོ་	PART
བལྟས་་	བལྟས་པ་	VERB
འི་	གི་	PART
ཚེ་	ཚེ་	NOUN
"།
།"		PUNCT
བལྟ་	བལྟ་	VERB
བྱ་	བྱ་	VERB
ལྟ་	ལྟ་	NOUN
བྱེད་	བྱེད་	VERB
གཉིས་	གཉིས་	NUM
སུ་	ལ་	PART
མེད་	མེད་	VERB
། །		PUNCT
སྟོང་པ་	སྟོང་པ་	VERB
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
དངོས་པོ་	དངོས་པོ་	NOUN
མེད་	མེད་	VERB
། །		PUNCT
གསལ་བ་	གསལ་བ་	VERB
ཡིན་པ་	ཡིན་པ་	AUX
ས་	གིས་	PART
རང་	རང་	PRON
གིས་	གིས་	PART
རིག་	རིག་	VERB
།		PUNCT
ཐ་དད་	ཐ་དད་	ADJ
མ་	མ་	PART
ཡིན་	ཡིན་	NO_POS
ཟུང་	ཟུང་	VERB
དུ་	ལ་	PART
འཇུག་	འཇུག་	VERB
།		PUNCT
ཅི་ཡང་	ཅི་ཡང་	OTHER
མེད་	མེད་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
ཅི་ཡང་	ཅི་ཡང་	OTHER
འཆར་	འཆར་	NO_POS
། །		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
རང་	རང་	PRON
ངོ་	གོ་	PART
ཤེ་	ཤེ་	VERB
ཙམ་	ཙམ་	DET
གྱི་	གི་	PART
། །		PUNCT
མི་	མི་	PART
བརྗེད་	བརྗེད་	VERB
དྲན་པ་	དྲན་པ་	VERB
ས་	གིས་	PART
བསྐྱང་བ་	བསྐྱང་བ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
"།
།"		PUNCT
བསྒོམ་	བསྒོམ་	VERB
བྱ་	བྱ་	VERB
གཞན་	གཞན་	DET
དུ་	ལ་	PART
མི་	མི་	PART
འཚོལ་	འཚོལ་	VERB
ཞིང་	ཅིང་	PART
། །		PUNCT
ཡིན་	ཡིན་	NO_POS
མིན་	མིན་	AUX
བཟོ་བཅོས་	བཟོ་བཅོས་	NO_POS
རེ་དོགས་	རེ་དོགས་	NOUN
