form	lemma	POS	morph
༄༅། །		PUNCT
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
མུ་ཏིག་	མུ་ཏིག་	NOUN
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
ལོ་	གོ་	PART
། །		PUNCT
སྔོན་བསགས་	སྔོན་བསགས་	OTHER
བཟང་པོ་	བཟང་པོ་	ADJ
ས་	གིས་	PART
འཕེན་པ་	འཕེན་པ་	VERB
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
དལ་འབྱོར་	དལ་འབྱོར་	NOUN
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
རྙེད་	རྙེད་	VERB
། །		PUNCT
མཚན་ལྡན་	མཚན་ལྡན་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
ཞབས་	ཞབས་	NOUN
ལ་	ལ་	PART
ཐུག་	ཐུག་	VERB
།		PUNCT
བུ་	བུ་	NOUN
ཁྱོད་	ཁྱོད་	PRON
སྐལ་བ་	སྐལ་བ་	NOUN
བཟང་	བཟང་	VERB
ངོ་	གོ་	PART
སྙམ་	སྙམ་	VERB
"།
།"		PUNCT
ཟབ་	ཟབ་	VERB
རྒྱ་	རྒྱ་	VERB
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
ལ་	ལ་	PART
། །		PUNCT
ཅི་དག་	ཅི་དགའ་	NO_POS
ར་	ལ་	PART
སྤྱོད་	སྤྱོད་	VERB
དུ་ཡོད་པ་	དུ་ཡོད་པ་	NO_POS
འི་	གི་	PART
སྐབས་	སྐབས་	NOUN
། །		PUNCT
ལེ་ལོ་	ལེ་ལོ་	NOUN
འི་	གི་	PART
དབང་	དབང་	NOUN
དུ་མ་	དུ་མ་	ADJ
ཤོར་བ་	ཤོར་བ་	VERB
ར་	ལ་	PART
། །		PUNCT
བསྟན་པ་	བསྟན་པ་	VERB
འི་	གི་	PART
སྙིང་པོ་	སྙིང་པོ་	NOUN
སྒྲུབ་	སྒྲུབ་	VERB
ལ་	ལ་	PART
